instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,temp,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿stp.mn.0024,﻿church,﻿Church of St. Victoria,English,,,,﻿Carver County,﻿Carver County,﻿Laketown,,,,44.767274,-93.845173,﻿stp.mn.0020,﻿Visited by Rev. M. Mayer,,,,,,,,,,,,1869,72.0,﻿,﻿,﻿StPaul,StPaul
﻿stp.mn.0025,﻿station,﻿Young America station,English,,,,﻿Carver County,,,,,,44.767274,-93.845173,﻿stp.mn.0019,﻿Visited by Rev. F. Stern,,,,,,,,,,,,1869,73.0,﻿,﻿,﻿StPaul,StPaul
﻿stp.mn.0254,﻿station,﻿San Francisco station,English,,,,﻿Carver County,,﻿San Francisco,,,,44.767274,-93.845173,﻿stp.mn.0020,﻿Visited by Rev. M. Mayer,,,,,,,,,,,,1869,74.0,﻿,﻿,﻿StPaul,StPaul
﻿stp.mn.0108,﻿church,﻿Church of St. Peter and Paul,English,,,,﻿McLeod County,﻿McLeod County,﻿Glencoe,,,,44.767274,-93.845173,﻿stp.mn.0019,﻿Visited by Rev. F. Stern,,,,,,,,,,,,1869,75.0,﻿,﻿,﻿StPaul,StPaul
﻿stp.mn.0109,﻿station,not recorded,English,,,,﻿McLeod County,﻿McLeod County,﻿Winsted,,,,44.767274,-93.845173,﻿stp.mn.0021,﻿Visited by Rev. C. Robert,,,,,,,,,,,,1869,76.0,﻿,﻿,﻿StPaul,StPaul
﻿stp.mn.0110,﻿station,not recorded,English,,,,﻿McLeod County,﻿McLeod County,﻿Hutchinson,,,,44.767274,-93.845173,﻿stp.mn.0021,﻿Visited by Rev. C. Robert,,,,,,,,,,,,1869,77.0,﻿,﻿,﻿StPaul,StPaul
﻿stp.mn.0111,﻿station,not recorded,English,,,,﻿McLeod County,﻿McLeod County,﻿Fremont,,,,44.767274,-93.845173,﻿stp.mn.0019,﻿Visited by Rev. F. Stern,,,,,,,,,,,,1869,78.0,﻿,﻿,﻿StPaul,StPaul
﻿stp.mn.0164,﻿church,﻿Church of St. Thomas,English,,,,﻿Sibley County,﻿Sibley County,﻿Jessenland,,,,44.598931,-93.900236,,﻿,,,﻿Rev.,﻿Theodore Venn,,,,,,,,1869,79.0,﻿,﻿,﻿StPaul,StPaul
﻿stp.mn.0166,﻿church,﻿Church of St. Joseph,English,,,,﻿Sibley County,﻿Sibley County,﻿Henderson,,,,44.598931,-93.900236,﻿stp.mn.0164,﻿Vistied by Rev. Theodore Venn,,,,,,,,,,,,1869,80.0,﻿,﻿,﻿StPaul,StPaul
﻿stp.mn.0165,﻿church,﻿Church of the Assumption,English,,,,﻿Sibley County,﻿Sibley County,﻿Washington Lake,,,,44.598931,-93.900236,﻿stp.mn.0164,﻿Visited by Rev. Theodore Venn,,,,,,,,,,,,1869,81.0,﻿,﻿,﻿StPaul,StPaul
