instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,Unnamed: 30,Unnamed: 31,attendingPersID,order,diocese,diocese_reg
﻿alb.ny.9001,﻿church,not recorded,English,,,,,,﻿Utica,,﻿NY,,43.06872831,-76.15749361,,,,,﻿wal_j_quarters_901,﻿Rev.,﻿Walter Quarters,,,,,,,1838,,,﻿,﻿,﻿New York,NewYorkCity
﻿alb.ny.9010,﻿church,not recorded,English,,,,,,﻿Williamsville,,﻿NY,,43.06872831,-76.15749361,,,﻿alternately,,﻿lutgen_901,﻿Rev. Mr.,﻿Lutgen,,,,,,,1838,,,﻿,﻿,﻿New York,NewYorkCity
﻿buf.ny.0033,﻿church,not recorded,English,,,,,,﻿Lancaster,,﻿NY,,43.06872831,-76.15749361,,,﻿alternately,,,﻿Rev. Mr.,﻿Lutgen,,,,,,,1838,,,﻿,﻿,﻿New York,NewYorkCity
﻿new.nj.9001,﻿church,not recorded,English,,,,,,﻿Bottle Hill,,﻿NJ,,43.06872831,-76.15749361,,,,,﻿fra_guth_902,﻿Rev.,﻿Francis Guth,,,,,,,1838,,,﻿,﻿,﻿New York,NewYorkCity
﻿new.nj.0013,﻿church,not recorded,English,,,,,,﻿Belleville,,﻿NJ,,43.06872831,-76.15749361,,,,,,﻿Rev. Mr.,﻿Moran,,,,,,,1838,,,﻿,﻿,﻿New York,NewYorkCity
﻿new.nj.0003,﻿church,not recorded,English,,,,,,﻿Newark,,﻿NJ,,43.06872831,-76.15749361,,,,,﻿moran_901,﻿Rev. Mr.,﻿Moran,,,,,,,1838,,,﻿,﻿,﻿New York,NewYorkCity
﻿new.nj.0067,﻿church,﻿New Brunswick Church,English,,,,,,﻿New Brunswick,,﻿NJ,,40.4862157,-74.4518188,,,,,﻿mcardle_901,﻿Rev. Mr.,﻿McArdle,,,,,,,1838,,,﻿,﻿,﻿New York,NewYorkCity
﻿new.nj.9002,﻿church,﻿Patterson Church,English,,,,,,﻿Patterson,,﻿NJ,,40.4862157,-74.4518188,,,,,﻿pat_duffy_901,﻿Rev.,﻿P. O'Reilly,,,,,,,1838,,,﻿,﻿,﻿New York,NewYorkCity
﻿new.nj.9002,﻿school,﻿St. Mary's Select School for Young Ladies,English,,﻿No. 415 Grand Street,,,,﻿New York,,﻿NY,,40.4862157,-74.4518188,,,,,,,,,,,﻿sisters,﻿5 sisters,﻿Sisters of Charity,1838,,,﻿,﻿,﻿New York,NewYorkCity
﻿new.nj.9002,﻿school,﻿St. Mary's Select School for Young Ladies,English,,﻿No. 415 Grand Street,,,,﻿New York,,﻿NY,,40.4862157,-74.4518188,,,,,,,,,,,﻿young ladies,﻿about 60 young ladies,﻿Sisters of Charity,1838,,,﻿,﻿,﻿New York,NewYorkCity
